Obs,Temp,Color,Moisture
1,42.46857649,red,88.66855943
2,32.92926695,red,93.0279776
3,38.47819056,red,92.73049718
4,31.0227261,red,91.3714704
5,31.40924019,red,91.05197331
6,37.87190579,red,92.67400192
7,32.45816821,red,94.30820452
8,35.89364705,green,90.64222112
9,32.28785944,red,90.34831453
10,33.84124522,green,90.30742961
11,29.15569567,red,89.52230071
12,34.16130414,red,93.65053345
13,34.38744625,red,89.52804486
14,34.56249245,red,91.22730315
15,29.0832774,red,90.10444059
16,37.99753916,green,91.54961223
17,38.05106386,red,96.73122279
18,36.80989822,green,92.74063607
19,35.32779201,red,95.677299
20,35.99378495,red,91.29959196
21,32.17084638,red,91.37245728
22,34.88600937,red,92.93267706
23,28.63566434,red,91.81750777
24,31.36857562,red,94.59698551
25,34.65032027,red,96.2037517
26,31.96216227,red,92.5284975
27,36.63348531,red,94.08442832
28,32.19565604,red,90.55959097
29,30.16749132,red,92.30361398
30,32.60428505,red,90.11483392
31,29.27345434,red,90.45092678
32,33.95374356,red,92.85612712
33,32.83960936,yellow,91.97539356
34,30.00355804,red,94.00973353
35,36.40440257,red,94.53374027
36,34.49922624,red,95.70775545
37,35.57646581,green,89.44759469
38,36.37376669,red,92.16909055
39,33.56865015,red,89.32666829
40,35.19539441,yellow,93.48023117
41,32.38740413,red,90.63579771
42,35.07855656,red,93.61868279
43,31.05945919,red,89.89428713
44,31.86203561,red,89.98267765
45,32.44916837,red,89.47415927
46,34.59733084,red,89.85878307
47,32.93884934,red,93.17268535
48,38.04376339,red,88.00908477
49,36.36020912,red,95.47949822
50,33.89668632,yellow,92.95986653
51,34.80156277,green,92.44937713
52,39.36607033,yellow,94.8890729
53,34.52011082,red,93.08013074
54,33.79938181,red,94.28309789
55,34.65012248,red,91.97633901
56,34.22985165,green,88.92481882
57,31.88186703,red,88.36612275
58,31.64611133,red,93.2963607
59,27.58427107,red,92.3357432
60,30.47954747,red,95.51258379
61,36.01093003,red,95.15565218
62,34.11736363,red,94.13303642
63,27.20311473,red,92.69877717
64,36.20939092,green,93.25590987
65,31.52561541,yellow,93.13441954
66,37.03643835,red,91.19796892
67,36.51136543,red,90.55992637
68,35.03108399,red,90.98550615
69,34.76913075,red,94.18711541
70,33.88501763,red,92.10484094
71,28.74934744,red,92.99603483
72,32.38861125,green,92.45870621
73,31.19073183,red,89.84762523
74,30.10617276,red,93.08503991
75,36.84894239,red,94.85372025
76,38.32094148,red,93.84746697
77,35.54364858,green,92.22294761
78,35.06001238,red,93.80921523
79,32.94032175,yellow,93.53663115
80,34.55790663,red,91.82967176
81,29.84882849,red,89.47009452
82,34.16991109,red,92.41613593
83,28.77358751,red,91.26138625
84,36.71389685,red,90.25712804
85,35.30388374,red,93.26032224
86,35.90785276,yellow,94.48526246
87,33.81526539,red,92.26048894
88,33.07273514,red,92.20707059
89,31.92300411,yellow,92.59156227
90,34.28599714,red,92.80662115
91,30.94347204,red,91.74871626
92,35.82258294,red,90.51965862
93,25.49594156,red,89.36747453
94,36.76115193,red,91.33137879
95,38.44012679,red,93.08864767
96,28.70999866,red,93.36864876
97,30.05194046,yellow,86.9422641
98,29.77964793,red,90.8624353
99,34.54235318,red,94.41036427
100,30.0691438,yellow,93.22378194
101,34.86683829,red,91.42503511
102,39.82633719,red,94.08128996
103,34.288229,red,93.95583649
104,39.16352799,red,90.54136185
105,30.79372055,red,91.22112674
106,34.74402256,red,91.03056994
107,31.71731878,yellow,94.23343961
108,32.81235381,red,91.72883108
109,30.6419364,red,93.14679817
110,34.38243747,red,94.84076511
111,36.20877386,red,89.41615401
112,37.02728229,yellow,89.14667174
113,39.27145079,red,94.25023251
114,32.89178884,red,91.00344805
115,29.11410992,red,92.03833572
116,38.05549367,red,92.58488831
117,32.59138226,green,92.55916339
118,34.60754681,green,91.15432047
